id,Frequency_Detuning,Temperature,Laser_Current,Bias_Vottage_of_Slave
114,14.14837,0.09849,0.16792,6.35578
115,14.78243,0.11158,0.14458,7.05123
116,11.27071,0.12129,0.07808,7.24409
117,9.17344,0.13168,0.07808,8.36031
118,7.07616,0.30355,0.053,8.94473
119,5.61294,0.23151,0.03725,9.40641
120,4.78379,0.23151,0.02733,9.79212
121,1.66226,0.23151,0.01061,-5.96948
122,25.41514,0.23151,0.3892,-7.20259
123,26.68326,0.23151,0.42498,-8.35973
124,28.34158,0.23151,0.44909,-9.13115
125,16.44075,0.24244,0.18211,-10.06037
126,18.73312,0.29964,0.2037,-9.75063
127,17.70887,0.30463,0.18697,-14.77073
128,18.34293,0.30787,0.19708,-15.62398
129,11.27071,0.33026,0.11464,-16.93306
130,6.88107,0.33728,0.05144,-17.20774
131,3.75954,0.34281,0.01566,-18.21292
132,13.56309,0.31556,0.11055,-19.87266
133,14.58734,0.27684,0.12883,-19.75577
134,14.58734,0.26591,0.17958,-19.37006
135,15.85546,0.26969,0.2037,-19.01941
136,20.00124,0.26915,0.22956,-18.05513
137,19.17208,0.20318,0.26611,-17.13176
138,18.53802,0.1503,0.24686,-16.70514
139,22.92767,0.15515,0.30772,-15.69995
140,23.95193,0.15947,0.33689,-14.26814
141,26.48817,0.17202,0.40748,-14.6597
142,30.43885,0.18794,0.48914,-14.26814
143,25.07372,0.20318,0.40845,-13.22789
144,25.07372,0.22611,0.4415,-12.69023
145,29.46337,0.23745,0.47456,-11.87789
146,22.63503,0.25283,0.319,-11.25842
147,19.7086,0.27738,0.28225,-10.56296
148,16.29443,0.29101,0.16558,-9.86751
149,17.2699,0.30247,0.15781,-9.21297
150,16.78216,0.30625,0.14808,-8.59349
151,15.31895,0.31934,0.13253,-7.93895
152,12.88025,0.31556,0.10919,-7.47142
153,10.9293,0.32096,0.09947,-6.81688
154,13.85573,0.32865,0.12086,-6.1974
155,9.95382,0.1306,0.1053,-5.50195
156,8.97834,0.14153,0.09169,-4.88247
157,5.56417,0.13721,0.06836,-4.4617
158,5.56417,0.06139,0.05086,-3.80131
159,3.61321,0.034,0.04308,-3.22274
160,10.9293,0.04385,0.12864,-2.72015
161,17.2699,0.05316,0.2317,-2.18249
162,21.65955,0.06085,0.27447,-1.7208
163,24.58599,0.07286,0.33456,-1.10133
164,26.0492,0.07933,0.3715,-0.52276
165,25.56146,0.0711,0.39484,0.25451
166,26.53694,0.09404,0.41623,0.83308
167,28.97564,0.0881,0.46289,1.33567
168,30.43885,0.09188,0.47845,1.33567
169,25.07372,0.11643,0.424,1.91424
170,24.58599,0.12628,0.35595,2.4519
171,26.0492,0.16716,0.36956,2.87852
172,25.07372,0.17971,0.32095,2.99541
173,22.14729,0.18618,0.29761,3.61488
174,20.68407,0.2102,0.28595,3.8428
175,20.68407,0.2195,0.27642,4.15254
176,19.7086,0.23421,0.24336,5.11682
177,22.14729,0.2593,0.27642,5.23371
178,25.56146,0.25283,0.319,6.2389
179,25.56146,0.27617,0.34039,6.5837
180,24.09825,0.28547,0.32095,7.36097
181,26.0492,0.29586,0.42984,7.74668
182,29.46337,0.29964,0.46873,8.16746
183,29.46337,0.30126,0.45317,7.85772
184,28.00016,0.30895,0.40067,6.93435
185,25.07372,0.31111,0.36567,8.40122
186,22.14729,0.3188,0.34428,8.82784
187,21.17181,0.32527,0.29372,9.0207
188,23.61051,0.33728,0.319,9.52329
189,21.65955,0.33944,0.26281,9.71615
190,19.7086,0.3362,0.23753,9.75122
191,19.7086,0.34443,0.21808,9.33044
192,20.19634,0.34065,0.20836,-1.13639
193,22.14729,0.26537,0.24725,-1.37016
194,23.12277,0.26146,0.28789,-1.48704
195,23.61051,0.27239,0.34623,-2.10652
196,28.97564,0.24891,0.43373,-2.76106
197,28.97564,0.24514,0.46289,-3.33963
198,28.00016,0.24136,0.44539,-3.84222
199,29.95111,0.21181,0.41817,-3.14677
200,27.02468,0.20048,0.39484,-3.91819
201,27.02468,0.18955,0.38317,-2.60911
202,26.0492,0.17701,0.35984,-0.79159
203,25.56146,0.18402,0.35011,-0.48185
204,23.12277,0.23151,0.3015,0.2136
205,25.07372,0.23151,0.32678,0.52334
206,26.0492,0.23151,0.34817,0.98503
207,28.4879,0.23151,0.42012,1.63957
208,28.4879,0.23151,0.42595,1.5636
209,26.0492,0.24244,0.3365,2.76164
210,22.14729,0.29964,0.28984,2.49281
211,24.09825,0.30463,0.32678,3.88371
212,28.4879,0.30787,0.39095,1.37074
213,32.38981,0.33026,0.49206,1.061
214,31.41433,0.33728,0.47845,-5.27403
215,32.38981,0.34281,0.49789,-2.68508
